BUS_NODE_ID|BUS_NODE_NM|ARO_BUSSTOP_ID|ARO_NM|BUSSTOP_ID|BUSSTOP_NM|ETL_TYPE|ETL_DATE,,,
8002607|중리네거리|51430|중리네거리|3061277100|중리네거리|0602|2019-12-30 02:43:03,,,
8002609|중리동|51440|중리동|3061277400|중리동|0602|2019-12-30 02:43:03,,,
8002611|중리동|51450|중리동|3061277600|중리동|0602|2019-12-30 02:43:03,,,
8002613|중리동주민센터|51340|중리동주민센터|3061277300|중리동주민센터|0602|2019-12-30 02:43:03,,,
8002615|중리시장|51380|중리시장|3061277900|중리시장|0602|2019-12-30 02:43:03,,,
8002617|중리지구대|51260|중리지구대|3061278000|중리지구대|0602|2019-12-30 02:43:03,,,
8002620|중부경찰서|20660|중부경찰서|3001278200|중부경찰서|0602|2019-12-30 02:43:03,,,
8002622|삼성동행정복지센터|12240|삼성동행정복지센터|3001278700|삼성동행정복지센터|0602|2019-12-30 02:43:03,,,
8002624|중세동|40710|중세동|3061402800|중세동|0602|2019-12-30 02:43:03,,,
8002626|중소벤처기업청|43390|중소벤처기업청|3051278900|중소벤처기업청|0602|2019-12-30 02:43:03,,,
8002628|중앙로역4번출구|20680|중앙로역4번출구|3001279100|중앙로역4번출구|0602|2019-12-30 02:43:03,,,
8002630|중앙로역9번출구|20030|중앙로역9번출구|3021279300|중앙로역9번출구|0602|2019-12-30 02:43:03,,,
8002632|중앙로역7번출구|20280|중앙로역7번출구|3021108300|중앙로역7번출구|0602|2019-12-30 02:43:03,,,
8002634|중앙시장|10050|중앙시장|3001252600|중앙시장|0602|2019-12-30 02:43:03,,,
8002758|탄방네거리|31420|탄방네거리|3001291900|탄방네거리|0602|2019-12-30 02:43:03,,,
8002760|탄방역.대전고용센터|31100|탄방역.대전고용센터|3021805100|탄방역.대전고용센터|0602|2019-12-30 02:43:03,,,
8002762|탄방주공아파트|31230|탄방주공아파트|3001292200|탄방주공아파트|0602|2019-12-30 02:43:03,,,
8002764|탑골입구|22420|탑골입구|3001292300|탑골입구|0602|2019-12-30 02:43:03,,,
8002766|탑립1통|44300|탑립1통|3051292400|탑립1통|0602|2019-12-30 02:43:03,,,
8002768|탑립1통산의절|44320|탑립1통산의절|3051292600|탑립1통산의절|0602|2019-12-30 02:43:03,,,
8002775|탑립육교|44400|탑립육교|3051293000|탑립육교|0602|2019-12-30 02:43:03,,,
8002777|태양마을|52380|태양마을|3061293200|태양마을|0602|2019-12-30 02:43:03,,,
8002779|태평1동주민센터|21580|태평1동주민센터|3021293400|태평1동주민센터|0602|2019-12-30 02:43:03,,,
8001002|대덕우체국네거리|51900|대덕우체국네거리|3061803300|대덕우체국네거리|0602|2019-12-30 02:43:03,,,
8001004|가는골|12740|가는골|3011100300|가는골|0602|2019-12-30 02:43:03,,,
8001006|가목정마을|14000|가목정마을|3011100500|가목정마을|0602|2019-12-30 02:43:03,,,
8001008|가수원동|33090|가수원동|3001100600|가수원동|0602|2019-12-30 02:43:03,,,
8001011|가수원시장|33120|가수원시장|3001100900|가수원시장|0602|2019-12-30 02:43:03,,,
8001013|가수원파출소|34870|가수원파출소|3001101100|가수원파출소|0602|2019-12-30 02:43:03,,,
8001017|가수원도서관|33030|가수원도서관|3001101500|가수원도서관|0602|2019-12-30 02:43:03,,,
8001019|가수원동|33080|가수원동|3001101700|가수원동|0602|2019-12-30 02:43:03,,,
8001025|도안베르디움|33050|도안베르디움|3021807800|도안베르디움|0602|2019-12-30 02:43:03,,,
8001027|가수원역|33190|가수원역|3001102100|가수원역|0602|2019-12-30 02:43:03,,,
8001029|가수원육교.가수원시장|33070|가수원육교.가수원시장|3001102300|가수원육교.가수원시장|0602|2019-12-30 02:43:03,,,
8001031|가수원중학교|33150|가수원중학교|3001102500|가수원중학교|0602|2019-12-30 02:43:03,,,
8001033|가양비래공원|51620|가양비래공원|3061300700|가양비래공원|0602|2019-12-30 02:43:03,,,
8001035|가양네거리|11540|가양네거리|3001102900|가양네거리|0602|2019-12-30 02:43:03,,,
8001037|흥룡초등학교|11560|흥룡초등학교|3001103700|흥룡초등학교|0602|2019-12-30 02:43:03,,,
8001039|가양중학교입구|51010|가양중학교입구|3061103600|가양중학교입구|0602|2019-12-30 02:43:03,,,
8001041|동구청|10380|동구청|3001806400|동구청|0602|2019-12-30 02:43:03,,,
8001043|가오동|10310|가오동|3011103800|가오동|0602|2019-12-30 02:43:03,,,
8001047|가오주공아파트|10330|가오주공아파트|3011104100|가오주공아파트|0602|2019-12-30 02:43:03,,,
8001049|가장교|31540|가장교|3001104400|가장교|0602|2019-12-30 02:43:03,,,
8001051|가장네거리|31500|가장네거리|3001104700|가장네거리|0602|2019-12-30 02:43:03,,,
8001053|갈마네거리|31800|갈마네거리|3001105100|갈마네거리|0602|2019-12-30 02:43:03,,,
8001055|갈마2동주민센터|31950|갈마2동주민센터|3001105300|갈마2동주민센터|0602|2019-12-30 02:43:03,,,
8001057|갈마도서관|31730|갈마도서관|3001105700|갈마도서관|0602|2019-12-30 02:43:03,,,
8001059|갈마아파트3단지|31880|갈마아파트3단지|3001106100|갈마아파트3단지|0602|2019-12-30 02:43:03,,,
8001061|갈마역|31940|갈마역|3001105500|갈마역|0602|2019-12-30 02:43:03,,,
8001063|갈마육교|31900|갈마육교|3001157400|갈마육교|0602|2019-12-30 02:43:03,,,
8001065|갈마초등학교|31820|갈마초등학교|3001106500|갈마초등학교|0602|2019-12-30 02:43:03,,,
8001067|갈전동|52600|갈전동|3061106700|갈전동|0602|2019-12-30 02:43:03,,,
8001069|감골|40650|감골|3061106900|감골|0602|2019-12-30 02:43:03,,,
8001071|갑동|42170|갑동|3051107500|갑동|0602|2019-12-30 02:43:03,,,
8001074|개나리아파트|31050|개나리아파트|3001107700|개나리아파트|0602|2019-12-30 02:43:03,,,
8001076|갤러리아타임월드|32050|갤러리아타임월드|3001107900|갤러리아타임월드|0602|2019-12-30 02:43:03,,,
8001078|갤러리아타임월드|32120|갤러리아타임월드|3001108100|갤러리아타임월드|0602|2019-12-30 02:43:03,,,
